,Год,Цена,Район,Ковид,Санкции,Ключевая ставка ЦБ РФ (%),ИПЦ (% к декабрю предыдущего года),Доллар
0,2000,14211.88630490956,126,0,0,28.0,119.3,28.83
1,2000,21935.86464686209,43,0,0,28.0,119.3,28.83
2,2000,16085.271317829465,124,0,0,28.0,119.3,28.83
3,2000,14402.636054421768,10,0,0,28.0,119.3,28.83
4,2000,13800.0852514919,99,0,0,28.0,119.3,28.83
5,2000,14052.872192407081,0,0,0,28.0,119.3,28.83
6,2000,19153.91156462585,61,0,0,28.0,119.3,28.83
7,2000,14578.005115089509,122,0,0,28.0,119.3,28.83
8,2000,19051.28205128205,55,0,0,28.0,119.3,28.83
9,2000,12755.102040816322,69,0,0,28.0,119.3,28.83
10,2000,15994.897959183672,24,0,0,28.0,119.3,28.83
11,2000,20992.366412213738,31,0,0,28.0,119.3,28.83
12,2000,17380.504833512347,15,0,0,28.0,119.3,28.83
13,2000,14243.197278911564,14,0,0,28.0,119.3,28.83
14,2000,10720.256338813035,27,0,0,28.0,119.3,28.83
15,2000,16189.167974882257,110,0,0,28.0,119.3,28.83
16,2000,23790.642347343382,85,0,0,28.0,119.3,28.83
17,2000,25343.642611683856,109,0,0,28.0,119.3,28.83
18,2000,9343.536045106724,46,0,0,28.0,119.3,28.83
19,2000,16660.125588697018,86,0,0,28.0,119.3,28.83
20,2000,20741.75824175824,108,0,0,28.0,119.3,28.83
21,2000,14364.20722135007,6,0,0,28.0,119.3,28.83
22,2000,16954.47409733124,48,0,0,28.0,119.3,28.83
23,2000,12131.782945736433,49,0,0,28.0,119.3,28.83
24,2000,15854.374633000582,121,0,0,28.0,119.3,28.83
25,2000,78574.53281182094,1,0,0,28.0,119.3,28.83
26,2000,12824.42748091603,32,0,0,28.0,119.3,28.83
27,2000,18099.547511312212,107,0,0,28.0,119.3,28.83
28,2000,19298.585545436938,111,0,0,28.0,119.3,28.83
29,2000,21487.44113029828,83,0,0,28.0,119.3,28.83
30,2000,17784.772771985045,84,0,0,28.0,119.3,28.83
31,2000,13343.799058084775,42,0,0,28.0,119.3,28.83
32,2000,22056.51491365777,5,0,0,28.0,119.3,28.83
33,2000,12269.230769230759,45,0,0,28.0,119.3,28.83
34,2000,14177.78649921507,16,0,0,28.0,119.3,28.83
35,2000,25510.204081632644,59,0,0,28.0,119.3,28.83
36,2000,27637.502446662755,23,0,0,28.0,119.3,28.83
37,2000,31389.265646192598,51,0,0,28.0,119.3,28.83
38,2000,15817.43065119024,82,0,0,28.0,119.3,28.83
39,2000,19128.20512820513,88,0,0,28.0,119.3,28.83
40,2000,15482.731554160122,20,0,0,28.0,119.3,28.83
41,2000,22468.315491571302,44,0,0,28.0,119.3,28.83
42,2000,13136.132315521627,71,0,0,28.0,119.3,28.83
43,2000,16335.227272727274,70,0,0,28.0,119.3,28.83
44,2000,12080.867850098623,120,0,0,28.0,119.3,28.83
45,2000,18173.987941429805,96,0,0,28.0,119.3,28.83
46,2000,15326.086956521734,90,0,0,28.0,119.3,28.83
47,2000,12802.162849872775,89,0,0,28.0,119.3,28.83
48,2000,40769.23076923076,47,0,0,28.0,119.3,28.83
49,2000,29704.142011834334,4,0,0,28.0,119.3,28.83
50,2000,17482.51748251748,112,0,0,28.0,119.3,28.83
51,2000,15014.577259475216,38,0,0,28.0,119.3,28.83
52,2000,14582.184225041367,35,0,0,28.0,119.3,28.83
53,2000,16030.53435114503,33,0,0,28.0,119.3,28.83
54,2000,14556.96202531645,113,0,0,28.0,119.3,28.83
55,2000,15976.331360946755,81,0,0,28.0,119.3,28.83
56,2000,19475.964514132454,7,0,0,28.0,119.3,28.83
57,2000,13492.723492723484,97,0,0,28.0,119.3,28.83
58,2000,20251.17739403453,98,0,0,28.0,119.3,28.83
