Месяц,Квартиры₽/м²,"Вторичка

новостройки
₽/м²",Дома₽,Земля₽/сотка,"Аренда 1-комн.

2-комн.
₽/месяц"
Январь,135 966184 объявления,"131 419125 объявлений
145 60159 объявлений",12 566 581116 объявлений,209 510171 объявление,"14 20140 объявлений
34 92928 объявлений"
Февраль,128 354232 объявления,"128 618157 объявлений
127 80175 объявлений",14 590 131150 объявлений,229 866266 объявлений,"12 46181 объявление
32 18635 объявлений"
Март,120 998280 объявлений,"128 244178 объявлений
108 352102 объявления",15 231 910172 объявления,217 746310 объявлений,"12 043108 объявлений
29 00044 объявления"
Апрель,121 892306 объявлений,"120 129232 объявления
127 41974 объявления",13 789 310243 объявления,207 058432 объявления,"11 125302 объявления
25 43158 объявлений"
Май,118 752351 объявление,"117 072276 объявлений
124 93175 объявлений",14 494 667285 объявлений,208 949498 объявлений,"10 457753 объявления
22 65279 объявлений"
Июнь,111 627403 объявления,"108 615327 объявлений
124 58476 объявлений",13 164 418395 объявлений,206 608617 объявлений,"10 156939 объявлений
23 12290 объявлений"
Июль,120 276437 объявлений,"119 339361 объявление
124 73076 объявлений",12 860 949410 объявлений,195 638667 объявлений,"10 242982 объявления
17 743138 объявлений"
Август,118 489474 объявления,"117 340398 объявлений
124 50176 объявлений",12 565 824455 объявлений,198 250712 объявлений,"9 817908 объявлений
19 919123 объявления"
Сентябрь,120 706534 объявления,"119 856458 объявлений
125 82976 объявлений",11 990 428493 объявления,201 689750 объявлений,"9 820970 объявлений
19 032143 объявления"
Октябрь,121 850599 объявлений,"120 937523 объявления
128 13576 объявлений",12 286 546543 объявления,198 788824 объявления,"21 6851 230 объявлений
15 437236 объявлений"
Ноябрь,119 388715 объявлений,"121 443642 объявления
101 31973 объявления",12 659 560765 объявлений,179 4421 067 объявлений,"20 1011 338 объявлений
42 646267 объявлений"
Декабрь,118 684872 объявления,"119 112800 объявлений
113 92772 объявления",12 561 292818 объявлений,175 4251 137 объявлений,"20 0731 346 объявлений
42 698322 объявления"
Январь,118 769943 объявления,"120 182871 объявление
101 67772 объявления",12 028 323874 объявления,173 1311 186 объявлений,"20 1821 591 объявление
42 722349 объявлений"
Февраль,118 0731 058 объявлений,"119 547981 объявление
99 29777 объявлений",11 438 484993 объявления,175 2981 305 объявлений,"20 5221 887 объявлений
42 798468 объявлений"
Март,118 5481 137 объявлений,"119 9301 060 объявлений
99 51977 объявлений",11 937 7391 161 объявление,183 0281 419 объявлений,"20 6461 963 объявления
42 908571 объявление"
Апрель,121 7841 294 объявления,"123 4071 215 объявлений
96 82079 объявлений",12 071 3781 314 объявлений,181 3451 570 объявлений,"20 8342 214 объявлений
42 894696 объявлений"
Май,122 5931 338 объявлений,"124 4041 256 объявлений
94 85182 объявления",12 102 5871 393 объявления,178 8101 651 объявление,"20 9662 339 объявлений
43 113711 объявлений"
Июнь,144 6501 113 объявлений,"145 5601 059 объявлений
126 80354 объявления",11 604 9041 497 объявлений,175 9231 839 объявлений,"21 2912 562 объявления
43 798741 объявление"
Июль,142 7361 154 объявления,"143 3301 102 объявления
130 13052 объявления",11 751 7761 561 объявление,189 6801 915 объявлений,"21 3782 596 объявлений
45 280738 объявлений"
Август,141 6421 201 объявление,"142 2671 148 объявлений
128 10453 объявления",12 055 5801 641 объявление,203 9061 954 объявления,"22 0722 440 объявлений
47 005733 объявления"
Сентябрь,150 4671 338 объявлений,"151 5931 282 объявления
124 68456 объявлений",12 071 7121 773 объявления,205 2492 069 объявлений,"22 0932 453 объявления
45 683772 объявления"
Октябрь,150 9871 395 объявлений,"152 0871 339 объявлений
124 67456 объявлений",11 318 8561 686 объявлений,211 8222 011 объявлений,"22 0892 443 объявления
44 290769 объявлений"
Ноябрь,148 6411 480 объявлений,"149 5371 425 объявлений
125 41355 объявлений",10 997 9541 713 объявлений,211 2812 035 объявлений,"22 1632 459 объявлений
43 489783 объявления"
Декабрь,151 7551 515 объявлений,"152 5221 459 объявлений
131 77256 объявлений",11 569 5091 781 объявление,263 7662 090 объявлений,"22 2102 478 объявлений
43 476801 объявление"
Январь,151 4821 588 объявлений,"152 2061 532 объявления
131 67656 объявлений",11 247 6971 855 объявлений,273 8702 137 объявлений,"22 3392 502 объявления
44 125819 объявлений"
Февраль,151 8081 146 объявлений,"153 6071 103 объявления
105 68514 объявлений",11 372 0611 322 объявления,313 1031 327 объявлений,"25 869141 объявление
53 50461 объявление"
Март,194 013707 объявлений,"196 642677 объявлений
159 2318 объявлений",11 629 8871 389 объявлений,303 9541 436 объявлений,"26 418124 объявления
44 68456 объявлений"
Апрель,188 850801 объявление,"191 364764 объявления
167 77512 объявлений",19 101 700778 объявлений,303 8601 497 объявлений,"31 38275 объявлений
58 35226 объявлений"
Май,183 129862 объявления,"185 216822 объявления
154 79114 объявлений",20 439 977777 объявлений,301 2281 550 объявлений,"31 56182 объявления
55 46830 объявлений"
Июнь,192 804964 объявления,"195 655923 объявления
131 25212 объявлений",21 189 112793 объявления,207 9581 484 объявления,"31 58295 объявлений
50 41133 объявления"
Июль,147 654564 объявления,"148 941536 объявлений
131 8974 объявления",20 990 707794 объявления,174 2051 531 объявление,"31 208101 объявление
56 71738 объявлений"
Август,155 850302 объявления,"158 410282 объявления
163 9403 объявления",20 462 848751 объявление,169 1141 490 объявлений,"31 15378 объявлений
51 31029 объявлений"
Сентябрь,188 334924 объявления,"189 159867 объявлений
202 65231 объявление",22 234 22726 объявлений,1 200 56558 объявлений,"35 094232 объявления
49 440119 объявлений"
Октябрь,191 436807 объявлений,"191 917753 объявления
262 04731 объявление",30 255 73815 объявлений,3 182 16147 объявлений,"38 18090 объявлений
47 96046 объявлений"
Ноябрь,193 479884 объявления,"193 177814 объявлений
237 45144 объявления",34 087 23118 объявлений,2 554 78750 объявлений,"36 359119 объявлений
50 04288 объявлений"
Декабрь,197 9431 020 объявлений,"196 209935 объявлений
248 24058 объявлений",32 687 70620 объявлений,1 493 30251 объявление,"36 112140 объявлений
52 41796 объявлений"
Январь,197 1151 091 объявление,"195 497983 объявления
231 05875 объявлений",31 080 97625 объявлений,1 251 01560 объявлений,"36 390156 объявлений
52 88796 объявлений"
Февраль,195 2031 222 объявления,"193 8771 109 объявлений
228 42381 объявление",28 961 74226 объявлений,1 203 05576 объявлений,"35 851180 объявлений
52 221112 объявлений"
